text,label_binary,label_original,dataset_name,norm_key,dedup_key
তোর মত মূর্খ্য জানোয়ারের কাছ থেকে এর বেশি চিন্তা করা ভুল। এই জানোয়ার আমার তো মনে হয় তোর যে জন্ম পরিচয় আছে সেটাই মনে হয় তুই বিশ্বাস করো না। কারন তোরে যারা জন্ম দিছে তাদের কি তোর জন্মের সময় দেখছিস দেখিস নাই তাহলে তোর কথা অনুযায়ী তোর কোনো জন্ম পরিচয় নাই...তুই একটা জারজ তাই না?,0,0.0,banglasarc,তোর মত মূর্খ্য জানোয়ারের কাছ থেকে এর বেশি চিন্তা করা ভুল। এই জানোয়ার আমার তো মনে হয় তোর যে জন্ম পরিচয় আছে সেটাই মনে হয় তুই বিশ্বাস করো না। কারন তোরে যারা জন্ম দিছে তাদের কি তোর জন্মের সময় দেখছিস দেখিস নাই তাহলে তোর কথা অনুযায়ী তোর কোনো জন্ম পরিচয় নাই...তুই একটা জারজ তাই না?,তোর মত মূর্খ্য জানোয়ারের কাছ থেকে এর বেশি চিন্তা করা ভুল। এই জানোয়ার আমার তো মনে হয় তোর যে জন্ম পরিচয় আছে সেটাই মনে হয় তুই বিশ্বাস করো না। কারন তোরে যারা জন্ম দিছে তাদের কি তোর জন্মের সময় দেখছিস দেখিস নাই তাহলে তোর কথা অনুযায়ী তোর কোনো জন্ম পরিচয় নাই...তুই একটা জারজ তাই না?
নাউজুবিল্লাহ বলে প্রবেশ (শুধুমাত্র লিঙ্কে) করেন। ফজিলত আছে।,0,0.0,banglasarc,নাউজুবিল্লাহ বলে প্রবেশ (শুধুমাত্র লিঙ্কে) করেন। ফজিলত আছে।,নাউজুবিল্লাহ বলে প্রবেশ (শুধুমাত্র লিঙ্কে) করেন। ফজিলত আছে।
"অর্থ আমার কথা বলে সবসময় ""বিদায়""",1,1.0,banglasarc,"অর্থ আমার কথা বলে সবসময় ""বিদায়""","অর্থ আমার কথা বলে সবসময় ""বিদায়"""
ডা,0,0.0,banglasarc,ডা,ডা
জ্যামিতি ব্যতীত জীবন অর্থহীন,1,1.0,banglasarc,জ্যামিতি ব্যতীত জীবন অর্থহীন,জ্যামিতি ব্যতীত জীবন অর্থহীন
"বর্তমানে আমাদের কাছে রয়েছে তিন ধরনের আম ল্যাংড়া, হিমসাগর ও আম্রপালি।",0,0.0,banglasarc,"বর্তমানে আমাদের কাছে রয়েছে তিন ধরনের আম ল্যাংড়া, হিমসাগর ও আম্রপালি।","বর্তমানে আমাদের কাছে রয়েছে তিন ধরনের আম ল্যাংড়া, হিমসাগর ও আম্রপালি।"
ঘুরে এলাম ফ্যান্টাসি কিংডম থেকে,0,0.0,banglasarc,ঘুরে এলাম ফ্যান্টাসি কিংডম থেকে,ঘুরে এলাম ফ্যান্টাসি কিংডম থেকে
"সমাজের বাস্তব চিত্র,,,",0,0.0,banglasarc,"সমাজের বাস্তব চিত্র,,,","সমাজের বাস্তব চিত্র,,,"
এত্তো আইসক্রিম খেলে তো গলা ব্যথা করতেই পারে।,0,0.0,banglasarc,এত্তো আইসক্রিম খেলে তো গলা ব্যথা করতেই পারে।,এত্তো আইসক্রিম খেলে তো গলা ব্যথা করতেই পারে।
"মাঠ থেকে ফসল ঘরে আনে
সেই ঘর জলে ভাসে ।",0,0.0,banglasarc,মাঠ থেকে ফসল ঘরে আনে সেই ঘর জলে ভাসে ।,মাঠ থেকে ফসল ঘরে আনে সেই ঘর জলে ভাসে ।
"আল্লাহপাক আমাদের রক্ষা করবেন,ইনশাআল্লাহ",0,0.0,banglasarc,"আল্লাহপাক আমাদের রক্ষা করবেন,ইনশাআল্লাহ","আল্লাহপাক আমাদের রক্ষা করবেন,ইনশাআল্লাহ"
আপনি এসব বলছেন আল্লাহর ভয় থেকে না আপনার ক্যারিয়ারের ভয়ে আর  এগুলো আপনি শিখেছেন আপনার পরিবার থেকে আপনার সাষ্তি দেবার মানুষ কেউ না মানুষ হচ্ছে  উছিলা মাত্র এসব আল্লাহর গজব আপনার উপর।,0,0.0,banglasarc,আপনি এসব বলছেন আল্লাহর ভয় থেকে না আপনার ক্যারিয়ারের ভয়ে আর এগুলো আপনি শিখেছেন আপনার পরিবার থেকে আপনার সাষ্তি দেবার মানুষ কেউ না মানুষ হচ্ছে উছিলা মাত্র এসব আল্লাহর গজব আপনার উপর।,আপনি এসব বলছেন আল্লাহর ভয় থেকে না আপনার ক্যারিয়ারের ভয়ে আর এগুলো আপনি শিখেছেন আপনার পরিবার থেকে আপনার সাষ্তি দেবার মানুষ কেউ না মানুষ হচ্ছে উছিলা মাত্র এসব আল্লাহর গজব আপনার উপর।
"আমি কেবল মানুষ, যদিও আমি আফসোস করছি।",1,1.0,banglasarc,"আমি কেবল মানুষ, যদিও আমি আফসোস করছি।","আমি কেবল মানুষ, যদিও আমি আফসোস করছি।"
পাশে আবার সালমান আছে নি,0,0.0,banglasarc,পাশে আবার সালমান আছে নি,পাশে আবার সালমান আছে নি
কাফতান দেখলে নিতে মন চায়,0,0.0,banglasarc,কাফতান দেখলে নিতে মন চায়,কাফতান দেখলে নিতে মন চায়
"ছেলেরা হলেও ঠিক আছে, তারা কেবল পিসি সংস্কৃতিতে অসুস্থ!",1,1.0,banglasarc,"ছেলেরা হলেও ঠিক আছে, তারা কেবল পিসি সংস্কৃতিতে অসুস্থ!","ছেলেরা হলেও ঠিক আছে, তারা কেবল পিসি সংস্কৃতিতে অসুস্থ!"
"গাছ লাগান পরিবেশ বাঁচান,
আর সেই পরিবেশ বাঁচাতে গিয়ে আজ সেই বৃক্ষপ্রেমি ই কারাগারে,, 🤔🤔
আহারে মানবতা 🤔🤔😀😀",0,0.0,banglasarc,"গাছ লাগান পরিবেশ বাঁচান, আর সেই পরিবেশ বাঁচাতে গিয়ে আজ সেই বৃক্ষপ্রেমি ই কারাগারে,, 🤔🤔 আহারে মানবতা 🤔🤔😀😀","গাছ লাগান পরিবেশ বাঁচান, আর সেই পরিবেশ বাঁচাতে গিয়ে আজ সেই বৃক্ষপ্রেমি ই কারাগারে,, 🤔🤔 আহারে মানবতা 🤔🤔😀😀"
আগামীকাল থেকে রাত ৮টার পর সারাদেশে দোকান-মার্কেট বন্ধ,0,0.0,banglasarc,আগামীকাল থেকে রাত ৮টার পর সারাদেশে দোকান-মার্কেট বন্ধ,আগামীকাল থেকে রাত ৮টার পর সারাদেশে দোকান-মার্কেট বন্ধ
আমার সাবস্ক্রিপশন বাতিল করুন কারণ আমার আপনার সমস্যাগুলির দরকার নেই,1,1.0,banglasarc,আমার সাবস্ক্রিপশন বাতিল করুন কারণ আমার আপনার সমস্যাগুলির দরকার নেই,আমার সাবস্ক্রিপশন বাতিল করুন কারণ আমার আপনার সমস্যাগুলির দরকার নেই
হয়তো আপনাদের কেউই হবে,0,0.0,banglasarc,হয়তো আপনাদের কেউই হবে,হয়তো আপনাদের কেউই হবে
"""আমি দুঃখিত, আমি আদেশ নিই না।আমি সবেমাত্র পরামর্শ নিই। """,1,1.0,banglasarc,"""আমি দুঃখিত, আমি আদেশ নিই না।আমি সবেমাত্র পরামর্শ নিই। ""","""আমি দুঃখিত, আমি আদেশ নিই না।আমি সবেমাত্র পরামর্শ নিই। """
কি ভাই কিছু খাবেন?,0,0.0,banglasarc,কি ভাই কিছু খাবেন?,কি ভাই কিছু খাবেন?
না জ্বালালে টাকা দিতে হবে না! বেঁচে যাবে বিদ্যুৎ ও টাকা এইটা তো একটা বোকাও জানে! তার চেয়ে বিদ্যুৎ চুরি বন্ধ করা জরুরী।,0,0.0,banglasarc,না জ্বালালে টাকা দিতে হবে না! বেঁচে যাবে বিদ্যুৎ ও টাকা এইটা তো একটা বোকাও জানে! তার চেয়ে বিদ্যুৎ চুরি বন্ধ করা জরুরী।,না জ্বালালে টাকা দিতে হবে না! বেঁচে যাবে বিদ্যুৎ ও টাকা এইটা তো একটা বোকাও জানে! তার চেয়ে বিদ্যুৎ চুরি বন্ধ করা জরুরী।
ভাই কক্সবাজারের ওয়েদার কেমন?,0,0.0,banglasarc,ভাই কক্সবাজারের ওয়েদার কেমন?,ভাই কক্সবাজারের ওয়েদার কেমন?
আমি আজ সকালেই ওখানে ছিলাম,0,0.0,banglasarc,আমি আজ সকালেই ওখানে ছিলাম,আমি আজ সকালেই ওখানে ছিলাম
এটাই ভালো অনেক ভালো,0,0.0,banglasarc,এটাই ভালো অনেক ভালো,এটাই ভালো অনেক ভালো
আমার অবুঝ মনে ছোটো একটা প্রশ্ন??? ঠিক কতো হাজার কোটি টাকা পাচার করলে ৫% হারে ৩ হাজার কোটি টাকা বাৎসরিক সুদ বাড়ে????,0,0.0,banglasarc,আমার অবুঝ মনে ছোটো একটা প্রশ্ন??? ঠিক কতো হাজার কোটি টাকা পাচার করলে ৫% হারে ৩ হাজার কোটি টাকা বাৎসরিক সুদ বাড়ে????,আমার অবুঝ মনে ছোটো একটা প্রশ্ন??? ঠিক কতো হাজার কোটি টাকা পাচার করলে ৫% হারে ৩ হাজার কোটি টাকা বাৎসরিক সুদ বাড়ে????
"“ভাবি আমি ব্যঙ্গাত্মক?আমাকে যত্ন নেওয়ার ভান দেখুন! """,1,1.0,banglasarc,"“ভাবি আমি ব্যঙ্গাত্মক?আমাকে যত্ন নেওয়ার ভান দেখুন! ""","“ভাবি আমি ব্যঙ্গাত্মক?আমাকে যত্ন নেওয়ার ভান দেখুন! """
শেখ হাসিনা সবার চেয়ে আলাদা। নোবেল পাওয়া একমাত্র মিডনাইট হযরত। যিনি অন্যদেশের প্রধানমন্ত্রীর বাডীতে বুয়ার কাজ করেছেন।,0,0.0,banglasarc,শেখ হাসিনা সবার চেয়ে আলাদা। নোবেল পাওয়া একমাত্র মিডনাইট হযরত। যিনি অন্যদেশের প্রধানমন্ত্রীর বাডীতে বুয়ার কাজ করেছেন।,শেখ হাসিনা সবার চেয়ে আলাদা। নোবেল পাওয়া একমাত্র মিডনাইট হযরত। যিনি অন্যদেশের প্রধানমন্ত্রীর বাডীতে বুয়ার কাজ করেছেন।
"আপনি যদি সত্যিই শুনেন, সত্যিই সাবধানতার সাথে আপনি বিশ্বজুড়ে হাজার হাজার প্যান্টির শব্দ শুনতে পাচ্ছেন মাটিতে আঘাত করছেন।",1,1.0,banglasarc,"আপনি যদি সত্যিই শুনেন, সত্যিই সাবধানতার সাথে আপনি বিশ্বজুড়ে হাজার হাজার প্যান্টির শব্দ শুনতে পাচ্ছেন মাটিতে আঘাত করছেন।","আপনি যদি সত্যিই শুনেন, সত্যিই সাবধানতার সাথে আপনি বিশ্বজুড়ে হাজার হাজার প্যান্টির শব্দ শুনতে পাচ্ছেন মাটিতে আঘাত করছেন।"
আমি যা বলি তা আপনি বিরক্ত?আমি যে জিনিস পিছনে রাখা আছে তা কল্পনা করুন।,1,1.0,banglasarc,আমি যা বলি তা আপনি বিরক্ত?আমি যে জিনিস পিছনে রাখা আছে তা কল্পনা করুন।,আমি যা বলি তা আপনি বিরক্ত?আমি যে জিনিস পিছনে রাখা আছে তা কল্পনা করুন।
"তবে, তবে, তবে কে তখন সমস্ত অর্থ উপার্জন করবে?",1,1.0,banglasarc,"তবে, তবে, তবে কে তখন সমস্ত অর্থ উপার্জন করবে?","তবে, তবে, তবে কে তখন সমস্ত অর্থ উপার্জন করবে?"
একলা কেনো আপু? কাকা কই??,0,0.0,banglasarc,একলা কেনো আপু? কাকা কই??,একলা কেনো আপু? কাকা কই??
এর পরে আমার পালা,0,0.0,banglasarc,এর পরে আমার পালা,এর পরে আমার পালা
অনেক সুন্দর বিশ্লেষণ 🥰,0,0.0,banglasarc,অনেক সুন্দর বিশ্লেষণ 🥰,অনেক সুন্দর বিশ্লেষণ 🥰
আপনি যদি বলেন প্রতিটি স্মার্ট জিনিসের জন্য যদি একটি ডলার থাকে।আমি দরিদ্র হব,1,1.0,banglasarc,আপনি যদি বলেন প্রতিটি স্মার্ট জিনিসের জন্য যদি একটি ডলার থাকে।আমি দরিদ্র হব,আপনি যদি বলেন প্রতিটি স্মার্ট জিনিসের জন্য যদি একটি ডলার থাকে।আমি দরিদ্র হব
গজব পরছে দেশটায়।,0,0.0,banglasarc,গজব পরছে দেশটায়।,গজব পরছে দেশটায়।
লুটেপুটে খাও,0,0.0,banglasarc,লুটেপুটে খাও,লুটেপুটে খাও
সারক্যাসম হ'ল বুদ্ধি সর্বনিম্ন রূপ!তবুও এটি মজাদার!,1,1.0,banglasarc,সারক্যাসম হ'ল বুদ্ধি সর্বনিম্ন রূপ!তবুও এটি মজাদার!,সারক্যাসম হ'ল বুদ্ধি সর্বনিম্ন রূপ!তবুও এটি মজাদার!
"এটি আমি কখনও দেখেছি এমন কুরুচিপূর্ণ শীর্ষ, তবুও এটি আপনার মুখকে পুরোপুরি প্রশংসা করে।",1,1.0,banglasarc,"এটি আমি কখনও দেখেছি এমন কুরুচিপূর্ণ শীর্ষ, তবুও এটি আপনার মুখকে পুরোপুরি প্রশংসা করে।","এটি আমি কখনও দেখেছি এমন কুরুচিপূর্ণ শীর্ষ, তবুও এটি আপনার মুখকে পুরোপুরি প্রশংসা করে।"
"""আমি যখনই দৌড়াতে যাই, আমি নতুন লোকের সাথে দেখা করি ... প্যারামেডিকসের মতো” """,1,1.0,banglasarc,"""আমি যখনই দৌড়াতে যাই, আমি নতুন লোকের সাথে দেখা করি ... প্যারামেডিকসের মতো” ""","""আমি যখনই দৌড়াতে যাই, আমি নতুন লোকের সাথে দেখা করি ... প্যারামেডিকসের মতো” """
"আমি যখন মারা যাই, আমি আমার দাদার মতো মারা যেতে চাই যিনি তাঁর ঘুমের মধ্যে শান্তভাবে মারা গিয়েছিলেন।তার গাড়িতে থাকা সমস্ত যাত্রীর মতো চিৎকার করছে না।",1,1.0,banglasarc,"আমি যখন মারা যাই, আমি আমার দাদার মতো মারা যেতে চাই যিনি তাঁর ঘুমের মধ্যে শান্তভাবে মারা গিয়েছিলেন।তার গাড়িতে থাকা সমস্ত যাত্রীর মতো চিৎকার করছে না।","আমি যখন মারা যাই, আমি আমার দাদার মতো মারা যেতে চাই যিনি তাঁর ঘুমের মধ্যে শান্তভাবে মারা গিয়েছিলেন।তার গাড়িতে থাকা সমস্ত যাত্রীর মতো চিৎকার করছে না।"
"একক আল্ট, কি স্ক্রাব",1,1.0,banglasarc,"একক আল্ট, কি স্ক্রাব","একক আল্ট, কি স্ক্রাব"
আমরা যা অনুভব করি এবং ভাবি এবং তা হ'ল আমাদের নালীহীন গ্রন্থি এবং ভিসেরা এর অবস্থা দ্বারা নির্ধারিত অনেক পরিমাণে।,1,1.0,banglasarc,আমরা যা অনুভব করি এবং ভাবি এবং তা হ'ল আমাদের নালীহীন গ্রন্থি এবং ভিসেরা এর অবস্থা দ্বারা নির্ধারিত অনেক পরিমাণে।,আমরা যা অনুভব করি এবং ভাবি এবং তা হ'ল আমাদের নালীহীন গ্রন্থি এবং ভিসেরা এর অবস্থা দ্বারা নির্ধারিত অনেক পরিমাণে।
সুপার রেড হট চিলি আর অসাম কোরিয়ান রেসিপিতে তৈরি মি.নুডল্,0,0.0,banglasarc,সুপার রেড হট চিলি আর অসাম কোরিয়ান রেসিপিতে তৈরি মি.নুডল্,সুপার রেড হট চিলি আর অসাম কোরিয়ান রেসিপিতে তৈরি মি.নুডল্
আপনি যদি খুব মুক্ত মনের মত হন তবে আপনার মস্তিষ্কগুলি পড়ে যাবে।,1,1.0,banglasarc,আপনি যদি খুব মুক্ত মনের মত হন তবে আপনার মস্তিষ্কগুলি পড়ে যাবে।,আপনি যদি খুব মুক্ত মনের মত হন তবে আপনার মস্তিষ্কগুলি পড়ে যাবে।
"অসাধারন, এটাই বেঁচে থাকার মূল মন্ত্র।",0,0.0,banglasarc,"অসাধারন, এটাই বেঁচে থাকার মূল মন্ত্র।","অসাধারন, এটাই বেঁচে থাকার মূল মন্ত্র।"
আমাদের সুনামগঞ্জ খুব খারাপ অবস্থা সবাই দোয়া করবেন,0,0.0,banglasarc,আমাদের সুনামগঞ্জ খুব খারাপ অবস্থা সবাই দোয়া করবেন,আমাদের সুনামগঞ্জ খুব খারাপ অবস্থা সবাই দোয়া করবেন
একন পুদুইনা আর আদা দিয়ে রঙ চা বেশি জোস হবেদে হয়দে,0,0.0,banglasarc,একন পুদুইনা আর আদা দিয়ে রঙ চা বেশি জোস হবেদে হয়দে,একন পুদুইনা আর আদা দিয়ে রঙ চা বেশি জোস হবেদে হয়দে
"কতো কথা বলে মন, তারা বুঝে না কেন",0,0.0,banglasarc,"কতো কথা বলে মন, তারা বুঝে না কেন","কতো কথা বলে মন, তারা বুঝে না কেন"
"এর দোষ শুধু বিয়া, এদেশের অনেক কোটিপতি, শিল্পপতি ছিল, তারাতো বিয়া করতে পারতো, এই নাট্যকর্মী তাহসানের চেয়েও উপযুক্ত পাত্র পাইছে মনে হয় কাকা বাবুকে। মিথিলা বুড়ো ফুলের ঘ্র্যান নিতে বেশ পছন্দ করে।",0,0.0,banglasarc,"এর দোষ শুধু বিয়া, এদেশের অনেক কোটিপতি, শিল্পপতি ছিল, তারাতো বিয়া করতে পারতো, এই নাট্যকর্মী তাহসানের চেয়েও উপযুক্ত পাত্র পাইছে মনে হয় কাকা বাবুকে। মিথিলা বুড়ো ফুলের ঘ্র্যান নিতে বেশ পছন্দ করে।","এর দোষ শুধু বিয়া, এদেশের অনেক কোটিপতি, শিল্পপতি ছিল, তারাতো বিয়া করতে পারতো, এই নাট্যকর্মী তাহসানের চেয়েও উপযুক্ত পাত্র পাইছে মনে হয় কাকা বাবুকে। মিথিলা বুড়ো ফুলের ঘ্র্যান নিতে বেশ পছন্দ করে।"
আমি বাচ্চাদের বিশ্বাস করি না।তারা আমাদের প্রতিস্থাপন করতে এখানে এসেছেন।,1,1.0,banglasarc,আমি বাচ্চাদের বিশ্বাস করি না।তারা আমাদের প্রতিস্থাপন করতে এখানে এসেছেন।,আমি বাচ্চাদের বিশ্বাস করি না।তারা আমাদের প্রতিস্থাপন করতে এখানে এসেছেন।
ইমান আলী স্যারের জন্য রইল অনেক অনেক দোয়া শুভ কামনা।,0,0.0,banglasarc,ইমান আলী স্যারের জন্য রইল অনেক অনেক দোয়া শুভ কামনা।,ইমান আলী স্যারের জন্য রইল অনেক অনেক দোয়া শুভ কামনা।
সরকার এই মাগির বাল ও ফালাতে পারবে না।খারাপ কিছু বলতে চাইলাম না কিন্তু আবেগ ধরে রাখতে পারলাম না।,0,0.0,banglasarc,সরকার এই মাগির বাল ও ফালাতে পারবে না।খারাপ কিছু বলতে চাইলাম না কিন্তু আবেগ ধরে রাখতে পারলাম না।,সরকার এই মাগির বাল ও ফালাতে পারবে না।খারাপ কিছু বলতে চাইলাম না কিন্তু আবেগ ধরে রাখতে পারলাম না।
"অবতরণ করবে কোথায়? মোলাকাতের সময় অনেক পাওয়া যাবে, আগে মানুষ বাচাতে হবে।",0,0.0,banglasarc,"অবতরণ করবে কোথায়? মোলাকাতের সময় অনেক পাওয়া যাবে, আগে মানুষ বাচাতে হবে।","অবতরণ করবে কোথায়? মোলাকাতের সময় অনেক পাওয়া যাবে, আগে মানুষ বাচাতে হবে।"
সারক্যাসম them তাদের এটি উপলব্ধি না করে ইডিয়টসকে অপমান করার ক্ষমতা।,1,1.0,banglasarc,সারক্যাসম them তাদের এটি উপলব্ধি না করে ইডিয়টসকে অপমান করার ক্ষমতা।,সারক্যাসম them তাদের এটি উপলব্ধি না করে ইডিয়টসকে অপমান করার ক্ষমতা।
মুগলীর জন্য অনেক অনেক ভালোবাসা রইলো,0,0.0,banglasarc,মুগলীর জন্য অনেক অনেক ভালোবাসা রইলো,মুগলীর জন্য অনেক অনেক ভালোবাসা রইলো
আপনি যদি আমার সাথে একমত না হন তবে ঠিক আছে।আমি আপনাকে সঠিক হতে বাধ্য করতে পারি না,1,1.0,banglasarc,আপনি যদি আমার সাথে একমত না হন তবে ঠিক আছে।আমি আপনাকে সঠিক হতে বাধ্য করতে পারি না,আপনি যদি আমার সাথে একমত না হন তবে ঠিক আছে।আমি আপনাকে সঠিক হতে বাধ্য করতে পারি না
গির্জায় যাওয়া আপনাকে গ্যারেজে যাওয়ার চেয়ে খ্রিস্টানকে আর কোনও তৈরি করে না আপনাকে একটি অটোমোবাইল করে তোলে,1,1.0,banglasarc,গির্জায় যাওয়া আপনাকে গ্যারেজে যাওয়ার চেয়ে খ্রিস্টানকে আর কোনও তৈরি করে না আপনাকে একটি অটোমোবাইল করে তোলে,গির্জায় যাওয়া আপনাকে গ্যারেজে যাওয়ার চেয়ে খ্রিস্টানকে আর কোনও তৈরি করে না আপনাকে একটি অটোমোবাইল করে তোলে
ভাই তুমি কি মদন পাইছো মানুষকে এইটাতে তার পিক না আসল ভিডিও লাগবে আমার সাথে যোগাযোগ করো,0,0.0,banglasarc,ভাই তুমি কি মদন পাইছো মানুষকে এইটাতে তার পিক না আসল ভিডিও লাগবে আমার সাথে যোগাযোগ করো,ভাই তুমি কি মদন পাইছো মানুষকে এইটাতে তার পিক না আসল ভিডিও লাগবে আমার সাথে যোগাযোগ করো
"""কখনও কখনও ক্ষমার দিকে প্রথম পদক্ষেপটি উপলব্ধি করা হয় যে অন্য ব্যক্তি একজন বোকা জন্মগ্রহণ করেছিলেন।""",1,1.0,banglasarc,"""কখনও কখনও ক্ষমার দিকে প্রথম পদক্ষেপটি উপলব্ধি করা হয় যে অন্য ব্যক্তি একজন বোকা জন্মগ্রহণ করেছিলেন।""","""কখনও কখনও ক্ষমার দিকে প্রথম পদক্ষেপটি উপলব্ধি করা হয় যে অন্য ব্যক্তি একজন বোকা জন্মগ্রহণ করেছিলেন।"""
আমাকে বলার জন্য ধন্যবাদ যে আপনি আমাকে কেবল একটি ইমেল প্রেরণ করেছেন।,1,1.0,banglasarc,আমাকে বলার জন্য ধন্যবাদ যে আপনি আমাকে কেবল একটি ইমেল প্রেরণ করেছেন।,আমাকে বলার জন্য ধন্যবাদ যে আপনি আমাকে কেবল একটি ইমেল প্রেরণ করেছেন।
উনি ইচ্ছা মত ব্লাশ দেয়।,0,0.0,banglasarc,উনি ইচ্ছা মত ব্লাশ দেয়।,উনি ইচ্ছা মত ব্লাশ দেয়।
"""আমি তালি দিয়েছি কারণ এটি শেষ হয়েছে, আমি এটি পছন্দ করি না।""",1,1.0,banglasarc,"""আমি তালি দিয়েছি কারণ এটি শেষ হয়েছে, আমি এটি পছন্দ করি না।""","""আমি তালি দিয়েছি কারণ এটি শেষ হয়েছে, আমি এটি পছন্দ করি না।"""
সবি এপ লিংক কেন ভাই!,0,0.0,banglasarc,সবি এপ লিংক কেন ভাই!,সবি এপ লিংক কেন ভাই!
"ওর কোন বাপ-মা নাই,ওর জনম ডাস্টবিনের ভিতর হয়েছে !! আল্লাহ ওকে হেদায়েত করুক ।",0,0.0,banglasarc,"ওর কোন বাপ-মা নাই,ওর জনম ডাস্টবিনের ভিতর হয়েছে !! আল্লাহ ওকে হেদায়েত করুক ।","ওর কোন বাপ-মা নাই,ওর জনম ডাস্টবিনের ভিতর হয়েছে !! আল্লাহ ওকে হেদায়েত করুক ।"
স্ট্রোক করবো!!! একদম শিওর,0,0.0,banglasarc,স্ট্রোক করবো!!! একদম শিওর,স্ট্রোক করবো!!! একদম শিওর
"কিছু তারা যেখানেই যায় সেখানে সুখের কারণ হয়, কেউ কেউ যখনই যায়।",1,1.0,banglasarc,"কিছু তারা যেখানেই যায় সেখানে সুখের কারণ হয়, কেউ কেউ যখনই যায়।","কিছু তারা যেখানেই যায় সেখানে সুখের কারণ হয়, কেউ কেউ যখনই যায়।"
মাশারাফির প্রিয় রং সাদা,0,0.0,banglasarc,মাশারাফির প্রিয় রং সাদা,মাশারাফির প্রিয় রং সাদা
