backbone,model_name,task,num_labels,n_train,n_test,time_seconds,confusion_matrix,leak_train_test,leak_val_test,val_accuracy,val_macro_f1,val_weighted_f1,val_binary_f1,val_precision,val_recall,test_accuracy,test_macro_f1,test_weighted_f1,test_binary_f1,test_precision,test_recall
xlm-roberta,xlm-roberta-base,banglasarc3_binary,2,6328,791,130.0,"[[275, 121], [93, 302]]",0,0,0.7509481668773704,0.750372054203772,0.7503568933439403,0.7623642943305187,0.728110599078341,0.8,0.729456384323641,0.7291407980132874,0.7291291096314224,0.7383863080684596,0.7139479905437353,0.7645569620253164
xlm-roberta,xlm-roberta-base,banglasarc3_ternary,3,9528,1192,175.6,"[[206, 110, 80], [79, 274, 48], [71, 41, 283]]",0,0,0.617968094038623,0.6151103803327963,0.6152299207606178,,,,0.6401006711409396,0.6378479492348249,0.6379012766137959,,,
mbert,bert-base-multilingual-cased,ben_sarc_binary,2,20498,2563,280.5,"[[980, 301], [358, 924]]",0,0,0.7361436377829821,0.7361121184325604,0.7361121184325604,0.7332280978689818,0.7414205905826018,0.7252146760343482,0.7428794381584081,0.7427566311844971,0.7427544382028202,0.7371360191463902,0.7542857142857143,0.7207488299531981
mbert,bert-base-multilingual-cased,banglasarc_binary,2,3708,464,79.6,"[[281, 17], [8, 158]]",0,0,0.9632829373650108,0.9604458448287125,0.9634430958146405,0.9498525073746312,0.930635838150289,0.9698795180722891,0.9461206896551724,0.9420483895946884,0.9464186628303297,0.9266862170087976,0.9028571428571428,0.9518072289156626
mbert,bert-base-multilingual-cased,banglasarc3_binary,2,6328,791,110.8,"[[266, 130], [84, 311]]",0,0,0.7496839443742098,0.7494336507448933,0.7494236389997205,0.7573529411764706,0.7339667458432304,0.7822784810126582,0.729456384323641,0.7285779339892505,0.7285584128707085,0.7440191387559809,0.7052154195011338,0.7873417721518987
mbert,bert-base-multilingual-cased,banglasarc3_ternary,3,9528,1192,146.3,"[[213, 97, 86], [109, 237, 55], [106, 36, 253]]",0,0,0.6020151133501259,0.6027990138120062,0.602846859825918,,,,0.589765100671141,0.5910314692292976,0.5910889238936974,,,
sagorsarker-bb,sagorsarker/bangla-bert-base,ben_sarc_binary,2,20498,2563,274.9,"[[975, 306], [332, 950]]",0,0,0.7408274785323966,0.7407364734498303,0.7407364734498303,0.7358790771678599,0.7502027575020276,0.7220921155347385,0.7510729613733905,0.7510492751293172,0.7510483276795543,0.7486209613869188,0.7563694267515924,0.7410296411856474
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc_binary,2,3708,464,70.7,"[[286, 12], [12, 154]]",0,0,0.9438444924406048,0.9397280301209645,0.9441846959380956,0.9239766081871345,0.8977272727272727,0.9518072289156626,0.9482758620689655,0.9437211934988274,0.9482758620689655,0.927710843373494,0.927710843373494,0.927710843373494
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc3_binary,2,6328,791,103.4,"[[290, 106], [103, 292]]",0,0,0.718078381795196,0.7180495414926384,0.7180531465304582,0.7151979565772669,0.7216494845360825,0.7088607594936709,0.7357774968394437,0.7357758076451588,0.7357749630480163,0.7364438839848676,0.7336683417085427,0.739240506329114
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc3_ternary,3,9528,1192,140.6,"[[217, 87, 92], [106, 245, 50], [102, 48, 245]]",0,0,0.6053736356003359,0.6049659999271871,0.6050527180697504,,,,0.5931208053691275,0.5942076211462795,0.5943196806187383,,,
